RED_IZO;IČO;Zřizovatel;Území;ORP;Plný název;Zkrácený název - NÁZEV ŠKOLY DO DATABÁZE (pro generování adresy na obálky);NÁZEV DO ROLOVACÍHO VÝBĚRU;ULICE + POPISNÉ ČÍSLO DO DATABÁZE;Ulice;č.p.;č.or.;č.obce;PSČ;Město + č.p. u malých obcí bez ulic - DO ADRESY;Město (SLOUPEC ZACHOVÁN KVŮLI VZORCŮM);Telefon;Fax;Email 1;Email 2;WWW;ID datové schránky;Ředitel;X;je OVM;
600008975; 47723416;7;CZ0411;4101;Gymnázium Aš, příspěvková organizace;Gymnázium Aš, příspěvková organizace;Aš – Gymnázium Aš, příspěvková organizace;Hlavní 2514/106;Hlavní;2514;106;Aš;35201;Aš;Aš;354 525 585 ,736514003;není;petr.jelinek@gymas.cz;kontakt@gymas.cz;http://www.gymas.cz;;Mgr. Petr Jelínek;C00L13;ANO;
650068955; 27089941;5;CZ0209;2122;OPEN GATE - gymnázium a základní škola, s.r.o.;OPEN GATE - gymnázium a ZŠ, s.r.o.;Babice – OPEN GATE - gymnázium a ZŠ, s.r.o.;Na Návsi 5;Na Návsi;5;;Babice;25101;Babice;Babice;323 616 740;není;info@opengate.cz;;http://www.opengate.cz;abvrh5r;PhDr. Mgr. Kateřina Kožnarová;B00C00G21H22K10L11;ANO;
600006671; 61664707;7;CZ0201;2101;Gymnázium, Benešov, Husova 470;Gymnázium;Benešov – Gymnázium Husova;Husova 470;Husova;470;;Benešov;25601;Benešov;Benešov;311 444 621;není;gymnazium@gbn.cz;hronek@gbn.cz;http://www.gbn.cz;3bmx7xh;Mgr. Roman Hronek;C00;ANO;
600006808; 47558407;7;CZ0202;2102;Gymnázium Joachima Barranda, Beroun, Talichova 824;Gymnázium J. Barranda;Beroun – Gymnázium J. Barranda;Talichova 824;Talichova;824;;Beroun-Město;26601;Beroun;Beroun;311 623 435;311 623 435;lidinsky@mail.gymberoun.cz;;www.gymberoun.cz;cyanjas;Stanislav Lidinský;C00;ANO;
600016773; 00601667;7;CZ0804;8101;Gymnázium Mikuláše Koperníka, Bílovec, příspěvková organizace;Gymnázium M. Koperníka;Bílovec – Gymnázium M. Koperníka;17. listopadu 526/18;17. listopadu;526;18;Bílovec;74301;Bílovec;Bílovec;556 411 071;556 414 432;gbilovec@gmk.cz;vschindler@gmk..cz;http://www.gmk.cz;;Mgr. Pavel Mrva;C00H22L11;ANO;
600013235; 62073133;7;CZ0641;6201;Gymnázium Blansko, příspěvková organizace;Gymnázium Blansko;Blansko – Gymnázium Blansko;Seifertova 33/13;Seifertova;33;13;Blansko;67801;Blansko;Blansko;516 418 632;516 418 632;jkocman@gymbk.cz;reditel@gymbk.cz;;8hb275q;Mgr. Radek Petřík;C00L11;ANO;
600009751; 49180932;7;CZ0324;3201;Gymnázium, Blovice, Družstevní 650;Gymnázium;Blovice – Gymnázium Družstevní;Družstevní 650;Družstevní;650;;Blovice;33613;Blovice;Blovice;371 522 053;371 522 053;gymnazium@gblovice.cz;;www.gblovice.cz;phfgyc4;Mgr. Marcela Šustrová;C00;ANO;
600016455; 62331205;7;CZ0803;8102;Gymnázium Františka Živného, Bohumín, Jana Palacha 794, příspěvková organizace;Gymnázium Fr.Živného;Bohumín – Gymnázium Fr.Živného;Jana Palacha 794;Jana Palacha;794;;Nový Bohumín;73581;Bohumín;Bohumín;596 014 560;596 014 559;sekretariat@gym-bohumin.cz;webmaster@gym-bohumin.cz;http://www.gym-bohumin.cz;i68fxiu;PaedDr. Miroslav Bialoń;C00;ANO;
600013294; 62073109;7;CZ0641;6202;Gymnázium Boskovice, příspěvková organizace;Gymnázium;Boskovice – Gymnázium Palackého náměstí;Palackého náměstí 222/1;Palackého náměstí;222;1;Boskovice;68011;Boskovice;Boskovice;516 802 216;516 453 559;info@gymbos.cz;alena.svanovska@gymbos.cz;www.gymbos.cz;avnb89q;Mgr. Alena Svanovská;C00L11;ANO;
600007774; 61388939;7;CZ0209;2103;Gymnázium J. S. Machara, Brandýs nad Labem - Stará Boleslav, Královická 668;Gymnázium J. S. Machara;Brandýs nad Labem-Stará Boleslav – Gymnázium J. S. Machara;Královická 668/23;Královická;668;23;Brandýs nad Labem;25001;Brandýs nad Labem-Stará Boleslav;Brandýs nad Labem-Stará Boleslav;326 902 311;není;info@gbl.cz;;http://www.gbl.cz;;PhDr. Ing. Miroslava Zachariášová;C00;ANO;
